ID,Latitude,Longitude,Block,Level,Parent,State,Details
81,29.529223,110.939124,7,2,1,VIC,Legacy House 283 Swanston Street MELBOURNE
82,28.723077,112.872718,12,2,1,VIC,Level 6 / 161 Collins Street MELBOURNE
83,30.101146,113.180335,10,2,1,VIC,Telstra/Vodafone Site 43 Lonsdale St MELBOURNE
84,29.948953,116.871742,10,2,1,VIC,Casselden Place 2 Lonsdale St MELBOURNE
85,30.556317,118.849281,4,2,2,VIC,Optus Site 250 Queen St MELBOURNE
86,31.009363,115.773109,6,2,2,VIC,394 Collins St MELBOURNE
87,30.793775,120.973507,9,2,2,VIC,161 Collins St Carpark MELBOURNE
88,30.757235,120.941185,6,2,2,VIC,Vodafone Microcell Cnr Collins & William Streets MELBOURNE
89,30.774776,120.862931,8,2,2,VIC,Vodafone Microcell Cnr Bourke & Elizabeth Streets MELBOURNE
90,30.672409,120.837414,10,2,2,VIC,Level 33 Casselden Place 235 Spring Street MELBOURNE
91,30.610936,120.786379,3,2,2,VIC,Hotham Hotel 2 Spencer St MELBOURNE
92,30.558214,120.716632,6,2,2,VIC,Optus Site 454 Collins St MELBOURNE
93,30.449752,120.752356,1,2,2,VIC,Optus Site 318-326 Spencer St MELBOURNE
94,30.448285,120.728540,1,2,2,VIC,Optus Site 450 LaTrobe St MELBOURNE
95,42.225960,124.115529,11,2,9,VIC,Optus Site 10 Bourke St MELBOURNE
96,41.618610,123.392534,12,2,9,VIC,Optus Site 14-16 Collins St MELBOURNE
97,42.070337,123.182633,5,2,9,VIC,Optus Site AMP Square 121 William St MELBOURNE
98,42.895904,125.468228,3,2,9,VIC,Optus Site 539-557 Collins St MELBOURNE
99,43.372450,124.372075,8,2,10,VIC,S/E Cnr Bourke & Elizabeth Sts MELBOURNE
100,44.080302,125.538196,5,2,10,VIC,140 William Street MELBOURNE
101,43.575547,125.328294,12,2,10,VIC,Optus microcell - Cnr Spring St & Flinders St MELBOURNE
102,43.440225,124.442043,12,2,9,VIC,8 Exhibition St MELBOURNE
103,43.440225,125.095070,6,2,10,VIC,BTS Site 38465D Treasure Funds House 50 Market Street MELBOURNE
104,43.168671,124.115529,1,2,9,VIC,225 King Street MELBOURNE
105,42.861723,124.512010,1,2,9,VIC,Upper Flagstaff Station MELBOURNE
106,42.536059,124.348753,6,2,9,VIC,333 Collins Street MELBOURNE
107,26.768865,111.414658,12,2,1,VIC,Hyatt Hotel 123 Collins St MELBOURNE
108,27.745488,110.359971,10,2,1,VIC,50 Lonsdale St MELBOURNE
109,26.925700,109.349229,11,2,1,VIC,Parliament Underground Station MELBOURNE
110,26.375833,108.426377,10,2,1,VIC,222 Exhibition St MELBOURNE
111,26.020956,106.800401,5,2,1,VIC,cnr Elizabeth & La Trobe Streets MELBOURNE
112,26.690367,105.745713,7,2,1,VIC,Optus/Vodafone Site 6/211 La Trobe St MELBOURNE
113,26.060440,104.866807,11,2,1,VIC,20-30 Bourke St MELBOURNE
114,26.139368,107.152342,6,2,1,VIC,Optus/Telstra Site cnr Collins & Queen Sts MELBOURNE
115,25.744196,106.053709,12,2,1,VIC,Optus/Telstra Site cnr Collins & Exhibition Sts MELBOURNE
116,26.768865,104.251951,12,2,1,VIC,CMTS Site Penthouse 71 Collins St MELBOURNE
117,25.744196,102.801756,8,2,1,VIC,Optus/Vodafone Site 341-357 Bourke St MELBOURNE
118,31.050553,121.409585,8,2,3,VIC,Vodafone Site 195 Swanston St MELBOURNE
119,31.071140,121.421258,3,2,3,VIC,452-470 Flinders Street MELBOURNE
120,31.081137,121.392419,2,2,3,VIC,Citipower House 628 Bourke Street MELBOURNE
121,31.084666,121.414391,12,2,3,VIC,Wilson Parking 114 Flinders Street MELBOURNE
122,31.090546,121.392419,10,2,3,VIC,Optus Minicell SE Cnr Exhibition St and Lonsdale St MELBOURNE
123,31.111712,121.404092,3,2,3,VIC,Optus Minicell NE Cnr Spencer St and Collins St MELBOURNE
124,31.125820,121.371819,4,2,3,VIC,Optus Minicell SE Cnr Queen St and Latrobe St MELBOURNE
125,31.131110,121.390359,4,2,3,VIC,Optus Rooftop Site Mitchell House 283 Elizabeth Street MELBOURNE
126,31.129347,121.369073,9,2,3,VIC,Customer Site 271 Collins Street MELBOURNE
127,31.137575,121.349160,5,2,3,VIC,Optus Rooftop Site 520 Bourke Street MELBOURNE
128,34.830795,107.661513,9,2,5,VIC,Optus Rooftop Site 287 Collins Street MELBOURNE
129,35.959192,105.530166,6,2,5,VIC,Telstra IBC 401 Collins St MELBOURNE
130,36.190064,104.519423,1,2,5,VIC,Vodafone Site Building C William Angliss Institute 555 La Trobe Street MELBOURNE VIC 3000
